Recency,Frequency,Monetary,Last_Review,Labels,Last_Order
114,1,118.0,5.0,3,2018-06-25
125,1,84.28,5.0,3,2018-06-14
89,1,132.6,5.0,3,2018-07-20
79,1,113.33,1.0,1,2018-07-30
182,1,79.29,3.0,3,2018-04-18
93,1,80.44,5.0,3,2018-07-16
113,1,93.56,5.0,3,2018-06-26
82,1,111.92,1.0,1,2018-07-27
134,1,113.96,5.0,3,2018-06-05
86,1,114.74,5.0,3,2018-07-23
171,1,125.97,4.0,3,2018-04-29
153,1,81.82,2.0,1,2018-05-17
108,1,126.36,2.0,1,2018-07-01
90,1,93.11,3.0,3,2018-07-19
130,1,147.78,5.0,3,2018-06-09
155,1,108.59,4.0,3,2018-05-15
57,1,81.95,1.0,1,2018-08-21
54,1,103.69,5.0,3,2018-08-24
83,1,101.25,5.0,3,2018-07-26
162,1,140.09,5.0,3,2018-05-08
184,1,136.6,5.0,3,2018-04-16
173,1,77.97,5.0,3,2018-04-27
121,1,88.32,3.0,3,2018-06-18
141,1,87.92,1.0,1,2018-05-29
132,1,98.97,5.0,3,2018-06-07
64,1,131.38,5.0,3,2018-08-14
118,1,118.7,5.0,3,2018-06-21
174,1,138.74,5.0,3,2018-04-26
176,1,100.12,5.0,3,2018-04-24
105,1,103.26,5.0,3,2018-07-04
94,1,143.64,5.0,3,2018-07-15
75,1,118.74,5.0,3,2018-08-03
68,1,134.48,5.0,3,2018-08-10
174,1,96.13,5.0,3,2018-04-26
175,1,83.5,5.0,3,2018-04-25
74,1,88.28,5.0,3,2018-08-04
132,1,119.82,4.0,3,2018-06-07
123,1,143.46,2.0,1,2018-06-16
51,1,106.93,5.0,3,2018-08-27
106,1,143.76,4.0,3,2018-07-03
93,1,91.61,4.0,3,2018-07-16
113,1,151.2,5.0,3,2018-06-26
189,1,101.38,5.0,3,2018-04-11
171,1,99.43,5.0,3,2018-04-29
183,1,128.75,5.0,3,2018-04-17
72,1,94.14,5.0,3,2018-08-06
179,1,112.68,3.0,3,2018-04-21
