,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),BuildingType,PrimaryPropertyType,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),ENERGYSTARScore,TotalGHGEmissions,AgeBuilding,ProportionGFABuilding,ProportionGFAParking,ProportionElectricity,ProportionNaturalGas,ProportionSteamUse,NumberofFloorsByBuildings
431,1969,1.0,2,104786,0,104786,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,104786.0,0.0,0.0,0.0,666718.0,361659.0,1028376.875,9.800000191,93.0,23.86,47,1.0,0.0,0.6483206849628936,0.3516794365878754,0.0,2.0
432,2000,1.0,1,53040,41600,11440,NonResidential,Other,Other,Other,None,None,51427.0,0.0,0.0,0.0,955967.0,814060.0,1770027.5,34.40000153,,49.9,16,0.21568627450980393,0.7843137254901961,0.5400859591164544,0.4599137584020587,0.0,1.0
434,1948,1.0,1,53620,0,53620,NonResidential,Small- and Mid-Sized Office,Office,Office,None,None,53620.0,0.0,0.0,0.0,1890584.0,168371.0,2058955.25,38.40000153,86.0,22.12,68,1.0,0.0,0.918224910424838,0.08177496815435886,0.0,1.0
435,1938,1.0,1,50008,0,50008,NonResidential,Small- and Mid-Sized Office,Office,Office,None,None,50008.0,0.0,0.0,0.0,2270837.0,931375.0,3202213.0,64.0,62.0,65.3,78,1.0,0.0,0.7091461436200528,0.2908535440959112,0.0,1.0
436,2009,1.0,4,291176,100176,191000,NonResidential,Large Office,"Office, Parking",Office,Parking,None,194674.0,111198.0,0.0,0.0,6585119.0,72228.0,6657348.5,34.20000076,98.0,49.74,7,0.65596065609803,0.34403934390196994,0.9891504102571768,0.01084936442789498,0.0,4.0
437,1957,1.0,1,50832,0,50832,NonResidential,Warehouse,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,Office,None,43920.0,6912.0,0.0,0.0,613991.0,1937032.0,2551022.25,50.20000076,63.0,107.16,59,1.0,0.0,0.24068429822593668,0.759315995773851,0.0,1.0
438,1971,1.0,1,76354,0,76354,NonResidential,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,None,None,76486.0,0.0,0.0,0.0,2832924.0,10109.0,2843033.5,37.20000076,70.0,20.29,45,1.0,0.0,0.9964441150623093,0.003555709069203722,0.0,1.0
439,1956,1.0,1,98480,0,98480,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,98480.0,0.0,0.0,0.0,2403347.0,428218.0,2831565.5,28.79999924,65.0,39.5,60,1.0,0.0,0.8487697000122371,0.1512301234069987,0.0,1.0
440,1904,1.0,2,53002,0,53002,NonResidential,Mixed Use Property,"Multifamily Housing, Parking, Restaurant, Retail Store",Retail Store,Parking,Multifamily Housing,31602.0,27427.0,18130.0,0.0,2574531.0,867112.0,3441643.25,64.40000153,75.0,64.0,112,1.0,0.0,0.7480528378413422,0.25194708951893835,0.0,2.0
441,2008,1.0,3,175918,51218,124700,NonResidential,Mixed Use Property,"Laboratory, Office, Parking",Office,Parking,Laboratory,66737.0,58218.0,30230.0,0.0,12047762.0,10482405.0,22530168.0,232.3000031,,640.71,8,0.7088529883241056,0.29114701167589446,0.5347391106892767,0.4652608449257902,0.0,3.0
442,1920,1.0,3,169785,63782,106003,NonResidential,Other,"Other, Parking",Other,Parking,None,106003.0,63782.0,0.0,0.0,13249663.0,5905752.0,19155416.0,180.6999969,,406.02,96,0.624336661071355,0.37566333892864506,0.6916927828662139,0.30830716492922944,0.0,3.0
443,1971,1.0,11,124721,0,124721,NonResidential,Large Office,"Food Service, Office, Parking, Restaurant",Office,Restaurant,Parking,107594.0,15600.0,12000.0,0.0,8069980.0,5828201.0,13898181.0,111.4000015,58.0,365.79,45,1.0,0.0,0.5806500865113211,0.41934991348867884,0.0,11.0
444,1970,1.0,7,94002,0,94002,NonResidential,Small- and Mid-Sized Office,"Office, Parking",Office,Parking,None,93905.0,31348.0,0.0,0.0,5662234.0,0.0,5662234.0,60.29999924,70.0,39.47,46,1.0,0.0,1.0,0.0,0.0,7.0
445,1974,1.0,1,93020,0,93020,NonResidential,Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,None,None,93020.0,0.0,0.0,0.0,1252324.0,0.0,1252323.875,13.5,60.0,8.73,42,1.0,0.0,1.000000099814435,0.0,0.0,1.0
446,1946,1.0,1,23000,0,23000,NonResidential,Other,"Office, Other",Other,Office,None,20310.0,2689.600098,0.0,0.0,260639.0,450480.0,711118.375,30.89999962,,25.74,70,1.0,0.0,0.366519849807003,0.6334810290902693,0.0,1.0
447,2002,1.0,1,61053,0,61053,NonResidential,Supermarket / Grocery Store,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,Parking,None,54434.0,0.0,0.0,0.0,8474644.0,4658580.0,13133225.0,241.3000031,32.0,306.5,14,1.0,0.0,0.6452827846930209,0.354717139164219,0.0,1.0
448,1913,5.0,7,154159,0,154159,NonResidential,Large Office,Office,Office,None,None,193154.0,0.0,0.0,0.0,1608768.0,343050.0,11195917.0,58.0,100.0,29.43,103,1.0,0.0,0.14369238357161812,0.030640634438429654,0.0,1.0
449,1904,1.0,5,78920,0,78920,NonResidential,Small- and Mid-Sized Office,Office,Office,None,None,78564.0,0.0,0.0,0.0,2830674.0,0.0,2830674.75,36.0,88.0,19.73,112,1.0,0.0,0.9999997350455047,0.0,0.0,5.0
450,1906,1.0,7,99440,0,99440,NonResidential,Small- and Mid-Sized Office,"Office, Retail Store",Office,Retail Store,None,65088.0,23857.0,0.0,0.0,4685851.0,1920981.0,6606832.5,74.30000305,64.0,134.69,110,1.0,0.0,0.7092431963425742,0.2907567279781953,0.0,7.0
